2-Theta,SP_K_room,SP_Mg,SP_K_300,SP_K_550,SP_Mg_gly,WIN_K_room,WIN_Mg,WIN_K_300,WIN_K_550,WIN_Mg_gly
10.5,101,164,91.333,89,161.67,79.333,138.67,82.667,70.333,154.67
10.55,90.667,133.67,101.33,82,178.33,92,134.67,87.667,73.667,141.67
10.6,99.333,140.67,103,84.333,166.67,84.333,145,90,75.333,145.67
10.65,111,131.33,98.333,77.667,164.67,90.667,135,91.333,90,141
10.7,94.333,140.33,99.667,88.667,163.33,94,123,96.333,84.667,143.33
10.75,108,146,121,97.667,171.67,102.67,148.67,89.667,89.667,148.67
10.8,99.333,137.33,122.33,101.33,192,105.67,144.33,107.33,89.667,132.33
10.85,108,140,113.67,101.33,183.67,106.67,152.67,110,96.333,148.33
10.9,118.33,145,119,99.667,176.67,113.33,156,100.67,105.33,151.67
10.95,120,162,126.33,106.67,187.33,116.33,159,108.67,96.667,146
11,125,152,126,122,206,110.33,148.33,119,101.33,165
11.05,127.67,164.67,147.33,112.33,201.33,123.33,155,118.33,109.33,189
11.1,122.67,180,135,130.67,209.67,121.67,157.33,125,128.67,169.33
11.15,128,168.33,154,140.67,194.67,131.33,170.33,134,127.33,168
11.2,129.33,166.33,151.67,123.67,232.67,139.67,172,135.67,128,163.67
11.25,134,161.33,158,138.33,209.67,136.33,193.33,136.33,129.67,178
11.3,140,157.33,150.33,134,214.33,122.67,165.67,161,148,178
11.35,136.33,185.67,166,141.33,235.67,141,197.67,147.67,144.67,181.67
11.4,134.33,190.33,171.67,156.33,235.33,148.67,171,148.33,136.67,192.67
11.45,152.67,198.67,178,148,237.67,132.33,183,139.67,149.33,172
11.5,146.67,190.67,175,156,231.67,138.33,191.67,161.33,145.67,185.67
11.55,135,198.67,169.33,157,252,157,197,155.67,153,186.33
11.6,151.67,202.33,184.67,157.67,252,142.33,197.67,158,153,192
11.65,148.67,206.67,174,159.67,245.33,159.67,199.33,172,155.33,196.33
11.7,156.33,207,198.33,177.67,251.33,165.67,218.33,172,168.67,196.67
11.75,149.67,197,164.67,163.67,242.67,160.33,203,167,174.67,213.33
11.8,166,208,203,167,275.33,161,221.33,175.33,174.67,213.67
11.85,173.33,233.33,195.67,176,291.33,172.33,221.33,173.33,176.67,200.33
11.9,153.33,235.67,194,176.67,297.33,152,225.33,185.33,167,207.33
11.95,164.67,237.67,184.33,181,292,171,202,163.33,179.67,198.33
12,177,227.33,199.67,187,315.33,157,237.33,178,177.67,236
12.05,172.67,252.33,210,180.33,327,179.67,230.67,187.67,185.67,225.33
12.1,179.67,276,217.33,188.67,329.67,174.67,226.67,195.67,169.67,241.33
12.15,179.33,277.33,203,174,354,179.33,253.33,182.33,177.67,242.33
12.2,191.33,295,211.67,190.33,387,185.33,263.33,188.67,171.33,243.67
12.25,201,314.67,211.67,189,406,191,270.67,178,183,265.33
12.3,216,324,191.67,192.33,386.67,203.33,310.33,181,181,270.33
12.35,207.67,351.67,222.33,192,437.33,207.33,317,193,178,299
12.4,207,337.67,229.67,176.67,408.67,194.67,310,194.33,182.67,292
12.45,203.33,311.33,214.67,193,395,188.67,270.33,201.33,187.33,252
12.5,180.67,301.33,215,184,349.67,204.33,254.33,184.33,185.67,237
12.55,175.67,239,239.67,182,314.67,185,253,193.33,181,241.67
12.6,177.67,229.67,227,164,297.67,167,221,184.33,182.33,221.67
12.65,146.67,206,221.67,180.67,251.67,164.33,219,195.67,178.33,206.33
12.7,143,203.33,226.33,178.67,270,157.33,192.67,190.33,174.33,198.67
12.75,129.67,186.67,214.67,175.67,242,163.67,188,190.67,173.33,184.67
12.8,148.33,171.67,192.33,180,248.67,160,180,178.33,173.67,203
12.85,151,168,193,162,230,150.67,189.67,166,169.33,187.67
12.9,132.67,159.33,190.67,157.67,211.67,157.67,178.33,174.33,160,194
12.95,132.33,163.67,166,172.33,211.67,153.33,183.33,182,171.67,186.67
13,131.33,173,169,163.67,204,159,175.67,177.67,172,158
13.05,141,153.33,184.67,161,205.33,153.67,164,162,153,167.67
13.1,129.33,150.67,160.33,158.33,209,125.33,171.33,152.67,152.67,156.67
13.15,116,150.67,176.67,173,201,145.33,168.33,155.33,158,160.67
13.2,115,139.33,160.33,157.33,196.67,130.33,157.33,156.33,159.33,167
13.25,116,149.33,151.67,153,178.33,134.67,152,151.33,158,161.67
13.3,119.33,145.33,152.67,148.33,175.67,121.33,150.67,151,152.67,159.33
13.35,118,140.67,161.33,148.67,187,137.67,155,155.67,133.33,146.33
13.4,121.67,135.33,151.33,152.67,158,136.33,148.67,155.33,154.67,146
13.45,109.33,140.33,162,144.67,173,126.67,153.33,136.67,149.67,148.67
13.5,107.33,125.33,146.67,144.67,165,130.33,144.33,135,149.67,152.67
13.55,102.33,122.33,149.67,130.67,164.33,116.33,142.33,127.33,147.67,141.33
13.6,109.67,121,133.67,141.33,167.67,117.67,146.67,140.67,144,145.33
13.65,102.67,132.67,145,141.33,161.33,107,139.33,161.33,134.33,152.67
13.7,105.67,117,149,136.33,171,116.67,134,135,143.33,135.33
13.75,97,118.33,129.67,130.67,145.67,120.33,152.33,132.33,128.33,130
13.8,94.667,100.33,132.33,137.33,150.67,110.33,126,130.33,143.67,128.67
13.85,105.67,110.67,126.33,119,136.33,110.33,145.33,114.67,140.33,131.33
13.9,97.333,113,134.33,121,152.33,113.33,141.33,121.33,122,123
13.95,99.333,111,119,118.33,149.33,122.33,118,131.33,128.67,128
14,82,119.33,122.67,113.33,160,107.67,120.33,121,124.33,120
14.05,86.333,96.667,114,121.67,134.67,98.667,128.67,124.33,121,127.67
14.1,88.333,117.67,122.67,118,132.67,100.67,122.67,124,114.33,128
14.15,95.667,89.667,118.67,115.67,134.67,100.33,129.33,122,119,115
14.2,86.333,107.67,113.33,114.33,127.67,104.33,123.67,108,127.67,110
14.25,77.333,102.33,120,110.67,134.67,93.333,119,118,115.33,101.33
14.3,87.667,92,120.67,118.33,124.33,95.333,116.33,114.67,109.33,113
14.35,81,91.333,103.67,108,114.67,95.667,99.333,110.33,109.67,108
14.4,79.333,90.333,102.33,108.67,119.33,88,97.333,100,102.67,112.33
14.45,77.667,87.333,108.67,101.33,112,78,100.67,103.67,103,106.33
14.5,71.667,93,108,101.33,123.33,94.667,102.33,103.67,101.33,113
14.55,68.667,91,97.667,98.333,107,85.667,98.667,105.67,96,96.667
14.6,76.333,93.667,102,106.67,109.67,94.333,105.33,98.667,90,102
14.65,72.333,97,95.333,100.67,103,73,97,97,97.667,92.333
14.7,72.333,81,92,96.333,110.67,81.333,98.333,96,90.667,95
14.75,68,78,102.33,97,98,78,92.667,93,88.667,97
14.8,69.667,75.667,92.333,92,107.67,80.667,96.667,84.667,86,83.333
14.85,68.667,82,85.667,91.333,90,70.667,100,81.667,93.667,92
14.9,64.333,78,92.333,93.667,96.333,68.667,81.333,90.667,97,85.667
14.95,76,78.333,103,93.667,113.67,69.667,93.333,88,80.667,94.667
15,59,81,97,87.333,97.667,75.667,81,86.333,78.333,88
15.05,68.667,73,83.667,83,90.333,80,86,93,84.333,85.333
15.1,66,74.333,87.667,86.333,93,75.333,82.333,76.333,92.667,92.667
15.15,67.333,76.333,95.667,79,101,71.667,72.667,73.667,90.333,100.33
15.2,61.667,82.667,89.667,85.333,96,62,76.333,88.667,85,93
15.25,67,82.333,88.667,85,94.667,71.667,84.333,93.667,89.333,90.667
15.3,61.667,70.333,91.667,80.333,92,63.333,81,72.667,82.667,88.667
15.35,59,83.333,82.333,84.667,86.667,71,79.333,77,80,84.333
15.4,59,69.333,86,94.333,97,61.333,81,79.333,89,89.667
15.45,61.667,74.333,85,85.333,82.333,71.333,78,83,78.667,97
15.5,62,71.333,78.667,89.333,87,73.667,78.333,78.333,74,82.667
15.55,59.333,71,78.667,81.667,90.333,56,74.333,76.333,78,89.333
15.6,62.667,76.333,90.667,72.667,90.667,56,80.667,83.667,83,82.667
15.65,47,80.333,78.333,86,90.333,74.667,73,76.667,74,83.667
15.7,54.333,67.667,78,76.667,95.333,71.333,78.667,76,86.333,88.333
15.75,62.333,72,83.667,86,90.333,65.333,79.333,74.333,71.667,91.667
15.8,61.667,67,84.333,83.333,91.667,67.667,79,81.333,88,86.333
15.85,61.333,78.333,85.667,79.667,91,72,82.667,76.333,78.667,81.667
15.9,57.333,73,76.333,86.667,89.667,61.333,80,75.333,77.667,84.667
15.95,66,76.667,79.333,80,84.333,67.333,77.667,74.667,82,94
16,53,80.667,87.667,93.333,91.667,75,75,78.667,80,94.667
16.05,59,74,75.333,81.667,93.667,61,82.333,77,79.333,92
16.1,60,68.333,79.667,82,92.667,64.333,74,79.333,75,91.667
16.15,63,72,77,79.667,88,68.333,80.667,80.333,78.667,89.333
16.2,65,74.667,82.667,79,89,59.333,77,77.333,87,87
16.25,61.333,78.667,71.333,84,86.333,58.667,77,71,78.333,92.667
16.3,62.667,71.333,79.667,82.667,86,67,81,77,74.333,97.333
16.35,67,73.333,82.333,78,86,56.667,71.333,83.333,72.333,96.333
16.4,64.667,72.667,87.667,70.333,91.667,66,81,68.333,80,106.67
16.45,55.667,71.333,85.333,79,86.667,64.333,66.333,74,79.667,96.667
16.5,66.667,75,77,84,93.667,59,72,73.333,87.333,99
16.55,64,71.667,88.667,81.667,91,59,75,74.333,74.333,106
16.6,61.667,72,79,77.667,101.67,68.667,77.333,75.667,77.667,103.33
16.65,55,76.667,82.667,89.333,87.333,65,81,76,79.333,111.33
16.7,64.333,70,79.667,84,91.333,63.333,81.667,75,75.667,100
16.75,64.667,73,86.667,86.333,86,63.333,68.333,72.333,75.667,108.33
16.8,59,62.667,83,88,88,64.333,82,72.333,85.667,120.33
16.85,64.667,70.667,82,78,93.333,61,82.333,78.667,81.667,112
16.9,70,86,82,85.333,89.333,68.667,82.333,76.667,89.333,111.33
16.95,58.667,81,80.333,87,107,63,84.667,85,81.333,103
17,63.667,74.667,79,80.333,107.67,63.333,86.333,75,82,113.67
17.05,81.667,83.667,77.667,84.667,103.33,64.333,87.333,85.667,81.667,122.67
17.1,72,81.333,80,98,106,66.333,83.667,82.667,82.333,131.67
17.15,68.333,76.667,74.667,92,120.33,65.333,87.667,75,81,117.33
17.2,76,89.333,79.667,91.333,108.67,74.333,86,74.667,87.333,132
17.25,76,91.667,83.667,83.333,113.67,70,96,87.333,86,127.33
17.3,75,91.333,92.333,94.667,130.67,68.667,91,81.667,82.333,128.33
17.35,73.333,104,83.667,90,132,67.333,98.333,79,98.667,134
