2-Theta,SP_K_room,SP_Mg,SP_K_300,SP_K_550,SP_Mg_gly,WIN_K_room,WIN_Mg,WIN_K_300,WIN_K_550,WIN_Mg_gly
24.15,77,92.667,93.333,89.667,107.67,72.667,83.333,98.333,80.333,81.667
24.2,77.333,87.667,98.667,97.333,99,73,80.667,97.667,103.67,85
24.25,78.667,97,90.333,103,98.333,75,84.333,96.333,92.333,99
24.3,82.333,90.667,98,85.333,105.33,73.333,86,92.333,92,90.667
24.35,79,91.667,102,90,105.67,82,89.333,94.667,92,89
24.4,73.333,97.333,90,83,101.67,68,82,93.667,93.333,99.333
24.45,82.333,92.667,95,86.333,110,72,90,98.667,89.333,99.333
24.5,96,110.67,91.667,86.667,116.33,80.333,93.333,96.333,96.333,107
24.55,87.333,107,105,88,113.33,76.333,107.33,81.333,94.333,103.33
24.6,95,120.67,86.333,96,138.33,82.667,97.667,85.667,90.333,106.33
24.65,88.667,120,91.333,91,135,72.333,105.33,93.333,86.333,107
24.7,85,123,99.667,86.667,145,79.667,104,84.667,78.333,110.33
24.75,90,130.67,94.667,100.67,161,77.333,128.67,80.333,78.667,126.67
24.8,107,144.67,98,85.333,191.33,82.667,124.67,93,97.333,130
24.85,114,167.33,92,92,200.67,90,148,87,88.333,149
24.9,127,182.33,93.667,86,207,86.667,142,89.333,90,149
24.95,106,189.67,96.333,90.333,199.67,83.333,149,88,85,148
25,102.67,176,107.67,89.333,224,83.667,136.33,79.333,91.667,142
25.05,85,172.67,106,90,191.67,78.333,129,86,81.333,147.67
25.1,102.67,175,92.333,83.667,203.33,79,126.33,87.333,84.667,150.33
25.15,96,163.33,110,88.667,193.33,80.333,144.67,93.333,86.333,133
25.2,91,156,113.67,86.333,189.67,83,143.67,95.667,76.333,167.67
25.25,102,151.67,105,88.667,169.67,93.333,155,86.667,77.667,152.67
25.3,113.33,159,114,91.333,208,101.67,157.33,91.667,81.333,178
25.35,109.67,156.33,102,86.333,195,102.67,154,88.333,88,171
25.4,106.67,151,107.67,85,174.33,81,134,89,81.667,156.67
25.45,89,140,105.67,94.667,166,78.667,141,88.333,96.333,154.33
25.5,97,162,110,97.667,176.67,79.333,145,92,91.333,157.33
25.55,88,145,112,97.333,176.33,87.333,149.67,105.67,100.33,168.67
25.6,89.333,141.67,114.67,95.333,178,78.333,136.33,100,98.333,175.67
25.65,86.333,148.67,104.33,86.667,173,80,148.67,90.333,95.667,160.67
25.7,96.333,146,97,91,177.67,83.333,144.33,98,84.667,157
25.75,99,144.67,84,90,180.67,84.333,160.67,95,73,170
25.8,93,139,99.333,83.667,188.33,81.333,154.67,96.333,92.333,177.67
25.85,89.667,156.33,98.333,82,176.67,91.667,150.67,83.667,85.667,175.33
25.9,98,153.33,108,97,189,77,161.67,91,80.667,182.67
25.95,98.333,143.33,97,87,199,92.667,156,92,80.333,210.67
26,95.667,156,103.67,93.667,212.33,96.333,168,73.333,79.667,195.33
26.05,101.33,147.67,92.667,91,198.67,86.333,165,84.667,85.667,208.33
26.1,94,165.33,106,90.333,202.67,87.333,172,88.333,80,214.67
26.15,101.33,156,101.67,86.667,192.67,90.667,167,89,95,217.33
26.2,112,167.33,103,101,217.33,93.667,170.67,80,100.67,216.33
26.25,114.33,174.67,100.67,99,216.67,96.333,171.67,92.333,96.333,244.33
26.3,114.67,172.67,100.33,100.33,208.67,107,182,84.333,98,253.33
26.35,103.67,183.33,97.333,116.33,229,103.67,179.67,89,101.67,257.67
26.4,120.33,182,99.667,121.67,231.33,110.33,175.67,90.333,103,285
26.45,141.67,200.67,104.67,115.67,246.33,127.67,193,101.67,104.33,292.67
26.5,134.67,199.67,94,129.67,268,140.33,212.67,92.333,111.33,299.67
26.55,178,222.33,97.333,139.67,295,139.33,241.67,91.667,112.33,324.33
26.6,248,261.33,114,156.67,363,257,370.33,95,120,416.33
26.65,324.33,308,116.33,163,409.67,326.33,452.67,107,139.33,507
26.7,291.67,274.67,126,176.67,378.67,281,364,109,140.33,443.33
26.75,258.33,251.33,153.33,204,313.33,208.33,257.67,111.67,148.33,362.33
26.8,220.67,227,163.33,233.67,286.33,169.33,236.67,133.33,187.67,331.33
26.85,205.33,204,214,272,263.33,165.67,209.33,153.67,219,307.67
26.9,174.33,188,231.33,280.67,249,140,174,205.67,252.67,264.33
26.95,154.67,169,231.67,250.33,209,134.67,173.67,224.33,244.67,243.67
27,138.67,155.33,189.33,219.67,230,120.33,164.33,230.67,228.33,231.67
27.05,142.33,143,177,194,202.67,102,146.33,185.67,189.33,211.33
27.1,137,136.33,162,174.33,190,107.33,127.33,156.67,146,194.33
27.15,126.67,129.33,157.33,137.33,176,92.667,136.33,139.33,140,196
27.2,106.33,142,151.33,136.33,182.67,86.667,133.33,124.67,119,174
27.25,106,124.67,138,127.67,165.67,84.333,125.33,115,117.67,159
27.3,103,114.33,113,109.67,147.67,82.333,126.33,105,98,151.33
27.35,94.333,115.67,114.33,111.67,151.67,84.333,131.33,116,95,146.67
27.4,94.667,124.67,102.33,95.667,152.67,86.667,113.33,99.333,92.667,155.33
27.45,98,120,98.667,90.667,148,87,118,95.333,84.333,154
27.5,100.33,108.33,93.333,99.667,151.33,88.333,109.67,94,89.667,130.33
27.55,91.333,110,92.333,87.333,127.33,78.667,107.33,93.667,77.333,128.33
27.6,90.667,102,92,94.333,129.33,86.667,93,88.667,81.333,110
27.65,83,113.67,88.333,81.333,122.33,70.667,112.33,96.333,71,123.33
27.7,79.333,113.67,90.333,80.333,131.33,71,104.67,85.333,84.333,110.33
27.75,98,103.33,75.667,76.667,122.67,72.667,98.333,72.667,85,114
27.8,80,99.667,84.667,81.333,128,81.667,99.667,78.333,83,107.33
27.85,83.333,101.33,76,80,120.33,73.667,114.33,72.667,67.333,119.33
27.9,83,104.33,82.667,63,114.33,78.333,106,65,72,113
27.95,83,98.667,73,72.333,120.67,60,105,68,79,104.67
28,78.667,98,76.333,72.667,118.67,66.667,97.333,71,74,98.333
28.05,77.333,93,83.667,75.333,109.33,75.667,92,68.333,67,103
28.1,74.333,84.333,76.333,75.333,112.33,79.667,91.667,77.667,70,94
28.15,76,102.67,70.333,73.333,113,71.667,95.667,69.667,69,104.67
28.2,65.333,93,71,69.667,109,69.333,92,59.333,71,93.333
28.25,70.333,91,70.333,76.667,103,68.333,89.667,73.333,69,93.333
28.3,64,92.667,74,70,106,74.333,92.667,64.333,61,100
28.35,76,82.333,73.333,70,95,57.333,91.667,69.333,70.667,91
28.4,82,85.333,68,66.333,95.667,68,83.667,69,62.333,86
28.45,73,96,64.667,67.667,105.33,78.667,85,64.667,60.667,87.667
28.5,72.333,84.333,68.333,80,93.667,70,85.667,64.667,62.333,89
28.55,76,95.333,62,72.333,91.667,65,95,60,64,94.333
28.6,73.667,87.667,66,64.333,90.333,69.333,85.333,64.667,56.333,84
28.65,59.333,78.667,72.333,53,100.67,67,78.333,64.333,58.333,91
28.7,70.333,89.333,67,66.333,92.667,67,88.333,67.333,70,84
28.75,62,77.667,69,57.667,84,63,85,69.667,63,79.333
28.8,65.667,89.667,61.333,68.333,84.333,71.667,91.333,58,63.667,82.333
28.85,59,83.333,74.333,59,95.667,64.333,87,62.333,62,90.333
28.9,60.667,82,63.333,66,93.667,66.333,87,56.667,66,84.667
28.95,68.667,82.667,65.333,67.667,93.667,65,83.333,60.667,60.667,82.333
29,60,74.333,59,64.333,87,68.333,85.667,61,62,77
29.05,65.333,83.333,51,60,90.667,67.333,74.333,56.667,65,76
29.1,70.667,79,68,62.667,100.33,71.333,83.333,53.667,67.333,88.667
29.15,75,83.333,56,67.667,89,72,79.333,59.333,60,83.667
29.2,61.667,88.667,56,59.667,92,68.333,83.333,68.667,54,86.667
29.25,66.333,81,61.667,59,87.667,54,80.667,62.667,61.333,77.667
29.3,56,71.333,62.667,55.667,93,66.667,84,58,62,81.333
29.35,67.333,68.667,58,55,85,67,82.333,54.333,61.667,86.333
29.4,67.667,77.333,57,57.667,77,61.333,78.667,55.667,74.667,81.333
29.45,67.667,71.333,66.333,56.667,82.333,60,66.333,60.667,57,78.333
29.5,60.333,72.667,60.667,60.333,83,68,82.333,60.333,58.333,71.667
29.55,66.667,78.333,57.667,59.333,78,65.333,82.333,53.667,55.667,79.333
29.6,70,80.333,66.333,58,79.333,60,79.333,59,58.667,71.333
29.65,69.667,71.667,60.333,58,77.333,64.667,74.333,51.667,59.333,83.667
29.7,64.333,69,50.333,58.667,79.667,68.667,69.333,56,46,85.333
29.75,66,78,59.667,66,88.333,71,76,56.333,58.333,79.667
29.8,63.333,83,59,55.333,83.667,68,72,61.333,45.667,71.333
29.85,61.333,73,54.333,62,79.667,60.667,67,59,59.333,83.333
29.9,64.333,68.333,57.333,60,74.667,57.333,60,55.333,55,75.667
29.95,68.333,74,60,58,81,63.333,69.333,57.333,60.667,72.667
30,70.333,71.667,53.667,55.333,77.667,68,66,46,57,86
